Country,<USD 40/kgU,<USD 80/kgU,<USD 130/kgU,<USD 260/kgU
Algeria,0.0,0.0,0.0,19500.0
Argentina,0.0,7000.0,10500.0,10500.0
Australia,,,1238700.0,1317800.0
Botswana,0.0,0.0,20400.0,20400.0
Brazil,138100.0,155900.0,155900.0,155900.0
Canada,0.0,282300.0,489700.0,649000.0
Chile,0.0,0.0,0.0,600.0
China,31800.0,55600.0,107600.0,111100.0
Congo Dem Rep of,0.0,0.0,0.0,1400.0
Czech Republic,0.0,0.0,800.0,50800.0
Denmark/Greenland,0.0,0.0,0.0,51400.0
Finland,0.0,0.0,1200.0,1200.0
Gabon,0.0,0.0,4800.0,4800.0
Germany,0.0,0.0,0.0,3000.0
Greece,0.0,0.0,0.0,1000.0
Guyana,0.0,0.0,0.0,2400.0
India,,,,213000.0
Indonesia,0.0,1500.0,5500.0,5500.0
Iran Islamic Rep of,0.0,0.0,3200.0,3200.0
Italy,0.0,4800.0,4800.0,4800.0
Japan,0.0,0.0,6600.0,6600.0
Jordan,0.0,0.0,6000.0,6000.0
Kazakhstan,252000.0,316400.0,367800.0,387400.0
Malawi,0.0,0.0,7700.0,12000.0
Mali,0.0,0.0,5000.0,5000.0
Mauritania,0.0,0.0,6500.0,6700.0
Mexico,0.0,0.0,1800.0,1800.0
Mongolia,0.0,7600.0,6600.0,6600.0
Namibia,0.0,11800.0,307200.0,322800.0
Niger,14600.0,257500.0,334800.0,
Paraguay,0.0,0.0,3000.0,3000.0
Peru,0.0,14000.0,14000.0,14000.0
Portugal,0.0,3600.0,4800.0,4800.0
Romania,0.0,20600.0,206400.0,251900.0
Russia,0.0,8800.0,8800.0,8800.0
Slovak Republic,0.0,1700.0,1700.0,1700.0
Slovenia,0.0,7200.0,12200.0,12200.0
Somalia,0.0,0.0,0.0,5200.0
South Africa,0.0,166300.0,236000.0,255700.0
Spain,8100.0,19100.0,19100.0,19100.0
Sweden,0.0,0.0,4900.0,4900.0
Tanzania,0.0,38300.0,39700.0,39700.0
Turkey,0.0,0.0,0.0,0.0
Ukraine,0.0,45000.0,73300.0,120600.0
United States,0.0,9000.0,59400.0,112200.0
Uzbekistan,27200.0,27200.0,49400.0,65000.0
Viet Nam,0.0,0.0,900.0,900.0
Zambia,0.0,0.0,12800.0,12800.0
Zimbabwe,0.0,0.0,0.0,0.0
